lotto-num
Scraped january 1997: ['1', '11', '22', '26', '33', '39']
Scraped january 1997: ['1', '7', '20', '22', '24', '30']
Scraped january 1997: ['1', '8', '12', '30', '33', '38']
Scraped january 1997: ['4', '11', '14', '26', '32', '38']
Scraped february 1997: ['3', '8', '17', '18', '38', '40']
Scraped february 1997: ['2', '11', '14', '16', '19', '40']
Scraped february 1997: ['2', '7', '9', '10', '16', '25']
Scraped february 1997: ['8', '12', '15', '19', '26', '30']
Scraped march 1997: ['7', '10', '29', '32', '33', '39']
Scraped march 1997: ['1', '2', '5', '9', '26', '31']
Scraped march 1997: ['14', '18', '21', '30', '34', '36']
Scraped march 1997: ['15', '18', '21', '24', '30', '32']
Scraped march 1997: ['4', '10', '23', '25', '26', '35']
Scraped april 1997: ['15', '16', '32', '36', '38', '39']
Scraped april 1997: ['2', '7', '10', '15', '21', '35']
Scraped april 1997: ['11', '14', '19', '33', '34', '35']
Scraped april 1997: ['3', '10', '27', '28', '31', '33']
Scraped may 1997: ['1', '6', '13', '22', '23', '35']
Scraped may 1997: ['9', '16', '20', '21', '30', '31']
Scraped may 1997: ['4', '5', '13', '33', '34', '39']
Scraped may 1997: ['1', '3', '4', '25', '35', '40']
Scraped may 1997: ['9', '24', '28', '30', '36', '39']
Scraped june 1997: ['9', '14', '21', '30', '34', '40']
Scraped june 1997: ['2', '3', '7', '9', '13', '15']
Scraped june 1997: ['13', '19', '22', '34', '35', '37']
Scraped june 1997: ['9', '19', '20', '27', '32', '35']
Scraped july 1997: ['2', '5', '9', '15', '22', '34']
Scraped july 1997: ['4', '5', '9', '12', '20', '37']
Scraped july 1997: ['7', '24', '26', '27', '30', '32']
Scraped july 1997: ['3', '6', '14', '17', '31', '33']
Scraped august 1997: ['6', '19', '22', '29', '32', '33']
Scraped august 1997: ['2', '6', '18', '22', '31', '39']
Scraped august 1997: ['1', '6', '10', '19', '31', '38']
Scraped august 1997: ['3', '8', '13', '18', '25', '39']
Scraped august 1997: ['6', '10', '19', '20', '37', '39']
Scraped september 1997: ['12', '17', '20', '29', '34', '38']
Scraped september 1997: ['2', '7', '16', '18', '21', '34']
Scraped september 1997: ['1', '13', '15', '23', '30', '40']
Scraped september 1997: ['18', '20', '23', '31', '35', '40']
Scraped october 1997: ['6', '17', '22', '23', '26', '38']
Scraped october 1997: ['4', '5', '8', '21', '31', '38']
Scraped october 1997: ['9', '15', '17', '25', '27', '36']
Scraped october 1997: ['12', '17', '20', '31', '32', '33']
Scraped november 1997: ['12', '16', '20', '22', '33', '38']
Scraped november 1997: ['3', '7', '16', '19', '20', '34']
