['13', '16', '17', '22', '27', '28']
['5', '20', '28', '29', '32', '38']
['14', '18', '22', '28', '30', '32']
['5', '14', '28', '32', '34', '36']
['14', '23', '24', '35', '36', '37']
['3', '4', '5', '24', '33', '39']
['14', '15', '17', '26', '34', '35']
['2', '3', '13', '25', '27', '33']
['5', '14', '17', '25', '28', '38']
['5', '17', '28', '30', '33', '38']
['4', '20', '22', '31', '35', '38']
['6', '7', '21', '22', '23', '40']
['2', '10', '15', '23', '24', '40']
['17', '19', '23', '25', '27', '37']
['8', '22', '29', '34', '36', '37']
['15', '19', '20', '23', '31', '33']
